동,아파트명,건축년도,거래 금액,거래 일,거래 월,거래 연도,전용 면적(㎡),층수,읍면동,전용면적_평수
청담스위트,청담스위트,2015,"22,900",29,5,2024,13.425,8,청담동,4.068181818181818
,청담스위트,2015,"23,000",31,1,2020,13.425,3,청담동,4.068181818181818
,썬-타워빌딩,2015,"43,757",30,8,2022,15.42,9,신사동,4.672727272727273
,썬-타워빌딩,2015,"43,757",30,8,2022,15.42,9,신사동,4.672727272727273
,썬-타워빌딩,2015,"43,757",30,8,2022,15.42,9,신사동,4.672727272727273
,썬-타워빌딩,2015,"43,757",30,8,2022,15.42,9,신사동,4.672727272727273
,썬-타워빌딩,2015,"43,757",30,8,2022,15.42,9,신사동,4.672727272727273
,한양수자인어반게이트,2013,"21,700",27,2,2023,16.2,7,논현동,4.909090909090909
,썬-타워빌딩,2015,"46,534",30,8,2022,16.4,9,신사동,4.96969696969697
,썬-타워빌딩,2015,"46,534",30,8,2022,16.4,9,신사동,4.96969696969697
,썬-타워빌딩,2015,"46,534",30,8,2022,16.4,9,신사동,4.96969696969697
,썬-타워빌딩,2015,"46,534",30,8,2022,16.4,8,신사동,4.96969696969697
,대명벨리온,2012,"19,000",28,9,2021,17.684,4,역삼동,5.358787878787879
,청담아르지움,2015,"35,200",30,11,2020,22.57,2,청담동,6.83939393939394
,썬-타워빌딩,2015,"67,352",30,8,2022,23.72,9,신사동,7.1878787878787875
,대우디오빌,2004,"26,000",21,3,2020,25.89,9,도곡동,7.845454545454546
,선릉역대우아이빌(890-49),2004,"24,500",14,10,2022,28.34,13,대치동,8.587878787878788
,대우디오빌,2002,"32,000",30,4,2022,30.03,8,역삼동,9.100000000000001
,대우디오빌,2002,"33,500",26,10,2021,30.03,8,역삼동,9.100000000000001
,대우디오빌,2002,"34,000",14,10,2022,30.03,14,역삼동,9.100000000000001
,아름빌(889-74),2003,"29,000",25,5,2022,30.46,8,대치동,9.23030303030303
,대우디오빌,2004,"30,500",29,10,2022,31.81,11,도곡동,9.639393939393939
,대우디오빌,2004,"31,100",26,2,2022,31.81,10,도곡동,9.639393939393939
,현대아파트101동,1999,"88,000",31,10,2020,32.61,11,삼성동,9.881818181818183
,테헤란로대우아이빌(891-6),2004,"39,800",5,11,2022,33.11,9,대치동,10.033333333333333
,성원대치2단지아파트,1992,"111,000",21,1,2021,33.18,12,개포동,10.054545454545455
,성원대치2단지아파트,1992,"119,500",4,8,2021,33.18,3,개포동,10.054545454545455
,성원대치2단지아파트,1992,"120,000",29,7,2021,33.18,11,개포동,10.054545454545455
,성원대치2단지아파트,1992,"125,000",29,8,2021,33.18,7,개포동,10.054545454545455
704,신동아,1992,"84,500",15,2,2023,33.18,11,수서동,10.054545454545455
215,성원대치2단지아파트,1992,"85,500",28,1,2023,33.18,9,개포동,10.054545454545455
215,성원대치2단지아파트,1992,"86,000",30,1,2023,33.18,11,개포동,10.054545454545455
,성원대치2단지아파트,1992,"91,000",14,3,2020,33.18,7,개포동,10.054545454545455
,성원대치2단지아파트,1992,"96,500",20,2,2020,33.18,9,개포동,10.054545454545455
214,성원대치2단지아파트,1992,"96,500",24,2,2024,33.18,4,개포동,10.054545454545455
,성원대치2단지아파트,1992,"98,500",31,7,2020,33.18,6,개포동,10.054545454545455
,트레벨,2002,"58,500",30,3,2022,33.48,3,역삼동,10.145454545454545
,호산프라자,1997,"33,300",8,3,2024,33.6,7,삼성동,10.181818181818183
,까치마을,1993,"103,000",30,9,2021,34.44,13,수서동,10.436363636363636
,까치마을,1993,"78,000",28,5,2020,34.44,11,수서동,10.436363636363636
,현대비젼21,1999,"41,000",29,5,2021,34.995,25,도곡동,10.604545454545454
,신동아(22),1997,"70,500",28,3,2019,35.73,2,논현동,10.827272727272726
,신동아(22),1997,"89,000",24,9,2022,35.73,1,논현동,10.827272727272726
,대우아이빌멤버스(891-26),2003,"36,000",28,9,2020,35.796,6,대치동,10.847272727272728
,휴먼스타빌,2005,"80,000",28,2,2022,35.905,14,청담동,10.88030303030303
,우정에쉐르멤버스,2004,"49,500",20,2,2021,36.19,10,역삼동,10.966666666666667
,우정에쉐르멤버스,2004,"58,000",7,1,2022,36.19,9,역삼동,10.966666666666667
,마일스디오빌,2004,"37,000",26,1,2022,36.29,4,논현동,10.996969696969698
,마일스디오빌,2004,"37,500",31,5,2021,36.29,14,논현동,10.996969696969698
주건축물제1동,한양립스,2022,"71,700",18,9,2023,38.2471,4,삼성동,11.590030303030305
,대우디오빌,2002,"40,000",10,5,2023,39.13,11,역삼동,11.85757575757576
,한화진넥스빌,2001,"38,700",29,10,2021,39.2,12,역삼동,11.87878787878788
,신동아,1992,"111,700",28,12,2020,39.51,10,수서동,11.972727272727273
,신동아,1992,"80,000",23,2,2019,39.51,15,수서동,11.972727272727273
,성원대치2단지아파트,1992,"100,000",13,6,2020,39.53,1,개포동,11.97878787878788
,신동아,1992,"100,000",25,10,2022,39.53,11,수서동,11.97878787878788
216,성원대치2단지아파트,1992,"100,000",7,2,2023,39.53,14,개포동,11.97878787878788
,삼익대청아파트,1992,"110,000",14,12,2019,39.53,5,개포동,11.97878787878788
,삼익대청아파트,1992,"113,000",25,7,2020,39.53,12,개포동,11.97878787878788
,성원대치2단지아파트,1992,"119,500",27,10,2020,39.53,11,개포동,11.97878787878788
,신동아,1992,"121,900",4,10,2024,39.53,4,수서동,11.97878787878788
,성원대치2단지아파트,1992,"135,000",30,6,2021,39.53,14,개포동,11.97878787878788
,성원대치2단지아파트,1992,"135,000",17,7,2021,39.53,8,개포동,11.97878787878788
,성원대치2단지아파트,1992,"80,000",27,3,2019,39.53,3,개포동,11.97878787878788
,성원대치2단지아파트,1992,"87,500",26,1,2019,39.53,15,개포동,11.97878787878788
301,삼익대청아파트,1992,"97,000",17,1,2023,39.53,8,개포동,11.97878787878788
,까치마을,1993,"106,000",30,11,2024,39.6,13,수서동,12.000000000000002
,까치마을,1993,"106,000",30,11,2024,39.6,13,수서동,12.000000000000002
,까치마을,1993,"111,500",17,12,2021,39.6,1,수서동,12.000000000000002
,까치마을,1993,"123,500",17,9,2021,39.6,11,수서동,12.000000000000002
,까치마을,1993,"129,500",27,11,2021,39.6,7,수서동,12.000000000000002
,까치마을,1993,"83,000",13,2,2020,39.6,1,수서동,12.000000000000002
1006,까치마을,1993,"90,000",13,11,2023,39.6,7,수서동,12.000000000000002
1003,까치마을,1993,"94,500",19,10,2023,39.6,7,수서동,12.000000000000002
119,수서,1992,"88,000",10,8,2023,39.98,5,일원동,12.115151515151515
,한화진넥스빌,2001,"41,000",11,10,2022,41.68,9,역삼동,12.63030303030303
,현대비젼21,1999,"54,000",6,11,2020,42.7,27,도곡동,12.939393939393941
,대우아이빌멤버스(891-26),2003,"43,500",20,3,2023,42.837,6,대치동,12.980909090909092
,펜트힐루논현,2021,"108,000",30,12,2021,43.392,4,논현동,13.14909090909091
,펜트힐루논현,2021,"110,000",25,10,2021,43.392,4,논현동,13.14909090909091
,펜트힐루논현,2021,"115,000",27,11,2023,43.392,8,논현동,13.14909090909091
