동,아파트명,건축년도,거래 금액,거래 일,거래 월,거래 연도,전용 면적(㎡),층수,읍면동
,제일파크맨션,1992,"13,700",14,1,2019,78.38,12,우산동
,하남우미,1992,"10,700",26,1,2019,49.14,5,우산동
,일신,1995,"19,300",6,1,2019,92.205,9,월계동
,대라수아파트,2017,"24,000",30,1,2019,68.8307,2,신창동
,삼성,1996,"16,350",30,1,2019,70.97,5,운남동
,운남주공9단지,2003,"21,900",7,1,2019,84.03,1,월곡동
,금호타운,1991,"16,200",22,1,2019,84.72,10,월곡동
,첨단우미2,1997,"14,800",26,1,2019,78.54,4,월계동
,호반,1998,"7,200",5,1,2019,39.68,2,비아동
,부영애시앙1차(산정셀트리움),2008,"25,300",25,1,2019,84.8198,8,산정동
,첨단라인1,1995,"16,700",28,2,2019,60,2,월계동
,모아미래도,2001,"15,750",15,2,2019,59.9451,3,월계동
,운남주공4단지,1996,"13,500",24,2,2019,59.76,2,운남동
,운남주공5단지,1997,"21,500",20,2,2019,84.8,17,운남동
,서라1,1995,"11,000",28,2,2019,59.965,9,소촌동
,신동아,1996,"18,200",28,2,2019,102.95,4,월계동
,현진에버빌1단지,2009,"101,750",27,2,2019,169.94,3,수완동
,첨단동부,1997,"24,300",20,2,2019,91.882,9,월계동
,수완이지더원,2012,"28,000",24,2,2019,59.8832,9,흑석동
,골드클래스,2013,"33,500",24,2,2019,74.9636,19,장덕동
,하남우미,1992,"10,000",19,3,2019,49.14,13,우산동
,첨단라인3,1995,"17,800",29,3,2019,84.91,4,월계동
,수완지구호반베르디움1차,2012,"55,500",30,3,2019,84.884,21,신가동
,첨단선경,1997,"21,650",27,3,2019,92.78,2,월계동
,호반2차,1997,"13,400",25,3,2019,59.82,3,월계동
,태양,1988,"9,400",30,3,2019,60,10,산정동
,신창부영,2005,"19,000",21,3,2019,84.7886,15,신창동
,EG스위트밸리3차,2004,"22,500",28,3,2019,84.439,13,소촌동
,다사로움2단지,2009,"18,300",26,3,2019,59.9954,2,산정동
,운남주공9단지,2003,"23,000",28,3,2019,84.47,16,월곡동
,하남우미,1992,"8,800",2,4,2019,49.92,8,우산동
,삼성,1996,"20,500",20,4,2019,84.92,17,운남동
,첨단두산2,1996,"16,800",13,4,2019,59.997,3,월계동
,호반,1998,"11,700",22,4,2019,59.88,9,비아동
,하남주공(2단지),1991,"6,400",30,4,2019,44.52,15,우산동
,삼성,1996,"16,150",24,4,2019,70.97,22,운남동
,신촌동명지로드힐,2006,"20,350",18,4,2019,84.6119,9,신촌동
,부영1차,2003,"20,150",20,4,2019,84.9763,3,산월동
,신창2차부영,2005,"20,000",24,4,2019,84.7886,1,신창동
,신창2차부영,2005,"23,000",17,4,2019,84.7886,3,신창동
,하남주공(2단지),1991,"6,500",7,5,2019,44.52,11,우산동
,수완지구호반베르디움1차,2012,"52,000",30,5,2019,84.884,18,신가동
,수완지구호반베르디움1차,2012,"48,500",26,5,2019,84.9173,9,신가동
,대광로제비앙,2007,"38,000",24,5,2019,109.7772,3,우산동
,우미이노스빌,2002,"19,400",28,5,2019,59.8276,8,신가동
,현진에버빌1단지,2009,"62,500",22,5,2019,116.27,6,수완동
,신창6차호반베르디움,2005,"27,500",30,5,2019,84.9429,11,신가동
,광주선운지구이지더원3단지,2016,"33,900",31,5,2019,72.2197,18,선암동
,신창동모아미래도,2000,"8,000",31,5,2019,47.7,10,신창동
,운남주공10단지,2003,"23,900",18,5,2019,84.86,3,월곡동
,정석그린,1995,"8,000",7,6,2019,59.97,7,신촌동
,운남주공5단지,1997,"23,800",7,6,2019,84.8,19,운남동
,모아,1997,"24,700",21,6,2019,95.31,4,월계동
,하남3지구모아엘가,2018,"38,500",30,6,2019,84.9966,6,하남동
,신창3차부영사랑으로,2006,"17,500",27,6,2019,59.748,4,신창동
,하남주공(2단지),1991,"7,200",10,6,2019,44.52,11,우산동
,운남주공6단지,2001,"27,500",19,6,2019,84.17,10,운남동
,운남주공10단지,2003,"17,800",25,6,2019,59.77,15,월곡동
,운남주공3단지,1996,"12,000",20,6,2019,58.14,11,운남동
,부영1차,2003,"19,800",23,6,2019,84.9763,3,산월동
,수완진아리채2차,2013,"56,500",27,7,2019,108.6652,8,수완동
,부영사랑으로7차,2007,"31,900",26,7,2019,84.9931,14,산월동
,운남주공6단지,2001,"29,000",27,7,2019,84.28,4,운남동
,운남주공3단지,1996,"12,500",29,7,2019,59.76,9,운남동
,첨단두산1차,1996,"15,400",30,7,2019,59.997,4,월계동
,호반2차,1997,"13,500",28,7,2019,59.82,4,월계동
,현진에버빌1단지,2009,"75,500",27,7,2019,129.79,18,수완동
,수완진아리채2차,2013,"56,000",26,7,2019,108.6652,14,수완동
,첨단우미2,1997,"17,000",31,7,2019,78.54,4,월계동
,중흥2차,1995,"9,500",27,7,2019,59.76,12,도천동
,운남주공4단지,1996,"13,400",26,8,2019,58.14,12,운남동
,성덕마을대방노블랜드5차,2011,"63,250",31,8,2019,118.913,23,장덕동
,현진에버빌2단지,2009,"45,900",22,8,2019,84.9568,11,장덕동
,서라,1995,"17,000",7,8,2019,59.93,2,월계동
,운남주공4단지,1996,"12,450",26,8,2019,59.76,17,운남동
,하남2지구중흥S-클래스,2013,"42,500",27,8,2019,84.9933,18,산정동
,골드클래스,2013,"26,700",23,8,2019,59.9817,18,장덕동
,중흥S클래스1단지,2009,"48,000",26,8,2019,84.4012,20,신가동
,운남주공7단지,2001,"18,300",28,8,2019,59.48,12,운남동
,광주수완6차대방노블랜드,2013,"65,500",31,8,2019,84.8545,17,수완동
,현진에버빌2단지,2009,"42,800",23,9,2019,84.9649,15,장덕동
,대방노블랜드,2009,"35,000",27,9,2019,84.9366,2,신가동
,호반,1998,"12,500",30,9,2019,59.88,11,비아동
,일신,1992,"16,800",26,9,2019,84.69,17,월곡동
,첨단라인1,1995,"21,000",27,9,2019,60,3,월계동
,풍영리버빌(신가부영),2001,"22,000",29,9,2019,84.9873,9,신창동
,첨단대우,1997,"24,700",25,9,2019,99.9,4,월계동
,호반,1998,"12,700",20,9,2019,59.88,9,비아동
