동,아파트명,건축년도,거래 금액,거래 일,거래 월,거래 연도,전용 면적(㎡),층수,읍면동,전용면적_평수
123,공작한양(고층),1992,"13,050",27,10,2024,28.215,10,선부동,8.55
,공작한양(고층),1992,"17,000",18,9,2021,28.215,2,선부동,8.55
,공작한양(고층),1992,"18,400",25,6,2022,28.215,4,선부동,8.55
,공작한양(고층),1992,"18,700",17,5,2022,28.215,7,선부동,8.55
,공작한양(고층),1992,"18,800",30,11,2022,28.215,4,선부동,8.55
,공작한양(고층),1992,"19,500",22,3,2022,28.215,11,선부동,8.55
,공작한양(고층),1992,"19,700",7,6,2022,28.215,15,선부동,8.55
,산호한양,1993,"10,500",29,1,2021,29.2725,20,선부동,8.870454545454546
,산호한양,1993,"20,900",30,12,2021,29.2725,11,선부동,8.870454545454546
,군자주공12,1991,"10,500",30,4,2019,38.64,7,선부동,11.70909090909091
,군자주공12,1991,"13,500",30,1,2019,38.64,6,선부동,11.70909090909091
,군자주공12,1991,"16,500",20,10,2020,38.64,2,선부동,11.70909090909091
1206,군자주공12,1991,"20,000",28,2,2023,38.64,4,선부동,11.70909090909091
,군자주공12,1991,"20,500",28,11,2022,38.64,13,선부동,11.70909090909091
,군자주공12,1991,"21,000",27,2,2021,38.64,15,선부동,11.70909090909091
,군자주공12,1991,"22,000",19,10,2022,38.64,7,선부동,11.70909090909091
1204,군자주공12,1991,"23,300",27,9,2023,38.64,11,선부동,11.70909090909091
,군자주공12,1991,"25,000",26,7,2022,38.64,1,선부동,11.70909090909091
,군자주공12,1991,"26,000",30,4,2021,38.64,9,선부동,11.70909090909091
,군자주공12,1991,"31,000",21,3,2022,38.64,5,선부동,11.70909090909091
,군자주공11,1990,"12,100",27,4,2019,39.27,1,선부동,11.900000000000002
,군자주공9,1989,"13,250",21,8,2019,39.27,1,선부동,11.900000000000002
,군자주공11,1990,"13,400",8,7,2019,39.27,4,선부동,11.900000000000002
,군자주공10,1989,"21,500",11,4,2020,39.27,4,선부동,11.900000000000002
1121,군자주공11,1990,"22,450",17,7,2024,39.27,4,선부동,11.900000000000002
1125,군자주공11,1990,"22,900",31,5,2024,39.27,2,선부동,11.900000000000002
,군자주공10,1989,"24,000",28,1,2021,39.27,3,선부동,11.900000000000002
1117,군자주공11,1990,"24,700",27,1,2024,39.27,3,선부동,11.900000000000002
,군자주공10,1989,"32,500",31,10,2022,39.27,2,선부동,11.900000000000002
,군자주공10,1989,"36,300",31,3,2022,39.27,4,선부동,11.900000000000002
,그린빌18,2001,"22,200",19,9,2022,39.3,7,초지동,11.909090909090908
1307,주공그린빌13단지,2002,"17,200",26,2,2023,39.38,3,초지동,11.933333333333335
,주공그린빌13단지,2002,"24,500",16,2,2022,39.38,2,초지동,11.933333333333335
,주공그린빌13단지,2002,"24,900",27,3,2022,39.38,5,초지동,11.933333333333335
,군자주공15(저층),1992,"13,500",31,1,2020,39.61,3,선부동,12.003030303030304
,군자주공15(저층),1992,"15,000",23,4,2020,39.61,5,선부동,12.003030303030304
,군자주공15(저층),1992,"24,200",26,12,2022,39.61,5,선부동,12.003030303030304
,군자주공11,1990,"12,900",16,11,2019,39.66,1,선부동,12.018181818181818
,군자주공11,1990,"14,000",30,1,2020,39.66,3,선부동,12.018181818181818
,군자주공11,1990,"16,200",30,11,2019,39.66,5,선부동,12.018181818181818
,군자주공10,1989,"16,700",20,2,2019,39.66,4,선부동,12.018181818181818
1123,군자주공11,1990,"23,500",31,5,2023,39.66,1,선부동,12.018181818181818
,군자주공10,1989,"24,700",17,6,2020,39.66,2,선부동,12.018181818181818
,군자주공11,1990,"28,000",23,8,2022,39.66,4,선부동,12.018181818181818
,군자주공11,1990,"29,000",28,5,2021,39.66,4,선부동,12.018181818181818
,군자주공9,1989,"29,900",25,10,2022,39.66,1,선부동,12.018181818181818
,군자주공11,1990,"33,000",22,6,2021,39.66,3,선부동,12.018181818181818
,군자주공9,1989,"38,000",26,5,2022,39.66,3,선부동,12.018181818181818
,주공5,1986,"24,000",28,9,2019,39.72,3,고잔동,12.036363636363637
,주공6,1986,"28,000",27,12,2019,39.72,2,고잔동,12.036363636363637
,주공6,1986,"35,500",28,11,2022,39.72,3,고잔동,12.036363636363637
530,주공5,1986,"35,800",26,7,2023,39.72,1,고잔동,12.036363636363637
,주공6,1986,"42,500",25,3,2022,39.72,4,고잔동,12.036363636363637
,주공그린빌13단지,2002,"23,200",20,8,2022,39.89,5,초지동,12.087878787878788
1811,그린빌18,2001,"20,500",27,6,2023,39.99,7,초지동,12.118181818181819
,군자주공15(저층),1992,"22,800",30,4,2021,40,5,선부동,12.121212121212121
,군자주공14,1992,"23,000",10,3,2021,40,5,선부동,12.121212121212121
,그린빌15(해맑음마을),2002,"21,200",25,9,2021,40.83,4,초지동,12.372727272727273
,그린빌15(해맑음마을),2002,"22,900",14,9,2021,40.83,7,초지동,12.372727272727273
,그린빌15(해맑음마을),2002,"23,500",26,5,2022,40.83,6,초지동,12.372727272727273
,군자주공15(고층),1993,"15,300",15,4,2020,41.3,3,선부동,12.515151515151516
,군자주공15(고층),1993,"16,700",14,4,2020,41.3,14,선부동,12.515151515151516
,군자주공15(고층),1993,"20,000",28,12,2020,41.3,6,선부동,12.515151515151516
,군자주공15(고층),1993,"21,000",8,6,2020,41.3,14,선부동,12.515151515151516
1502,군자주공15(고층),1993,"21,600",29,3,2024,41.3,1,선부동,12.515151515151516
,산호한양,1993,"11,700",21,5,2020,42.615,6,선부동,12.913636363636366
,산호한양,1993,"14,000",9,9,2020,42.615,6,선부동,12.913636363636366
,산호한양,1993,"14,500",28,12,2020,42.615,17,선부동,12.913636363636366
104,산호한양,1993,"19,000",4,10,2023,42.615,18,선부동,12.913636363636366
,산호한양,1993,"22,900",3,9,2021,42.615,7,선부동,12.913636363636366
,산호한양,1993,"23,400",21,1,2022,42.615,8,선부동,12.913636363636366
,공작한양(고층),1992,"24,000",11,12,2021,42.615,11,선부동,12.913636363636366
,공작한양(고층),1992,"24,200",22,6,2022,42.615,15,선부동,12.913636363636366
,군자주공12,1991,"20,000",8,9,2020,44.94,14,선부동,13.618181818181819
1209,군자주공12,1991,"25,700",29,8,2024,44.94,9,선부동,13.618181818181819
1208,군자주공12,1991,"27,950",31,10,2023,44.94,14,선부동,13.618181818181819
,군자주공12,1991,"35,000",6,1,2022,44.94,12,선부동,13.618181818181819
,군자주공12,1991,"36,500",28,2,2022,44.94,4,선부동,13.618181818181819
,군자주공11,1990,"23,700",24,1,2021,46.65,1,선부동,14.136363636363637
902,군자주공9,1989,"29,500",17,11,2023,46.65,5,선부동,14.136363636363637
,군자주공11,1990,"37,000",17,2,2022,46.65,2,선부동,14.136363636363637
,주공6,1986,"24,800",1,6,2019,46.74,4,고잔동,14.163636363636366
525,주공5,1986,"33,000",27,1,2023,46.74,1,고잔동,14.163636363636366
,주공5,1986,"33,000",28,10,2019,46.79,2,고잔동,14.17878787878788
,군자주공11,1990,"24,100",28,7,2020,46.98,4,선부동,14.236363636363636
,군자주공9,1989,"26,000",30,11,2020,46.98,5,선부동,14.236363636363636
1009,군자주공10,1989,"36,000",20,7,2024,46.98,3,선부동,14.236363636363636
,군자주공10,1989,"42,500",30,4,2022,46.98,5,선부동,14.236363636363636
524,주공5,1986,"38,000",21,4,2023,47.1,1,고잔동,14.272727272727273
,주공5,1986,"40,000",27,4,2023,47.1,1,고잔동,14.272727272727273
,주공6,1986,"47,000",22,11,2022,47.1,2,고잔동,14.272727272727273
,주공그린빌14단지,2002,"24,500",13,12,2023,48.33,1,초지동,14.645454545454546
,초지역메이저타운푸르지오메트로단지,2019,"27,800",23,7,2019,48.3659,7,초지동,14.656333333333334
,초지역메이저타운푸르지오메트로단지,2019,"40,000",2,3,2020,48.3659,34,초지동,14.656333333333334
104,초지역메이저타운푸르지오메트로단지,2019,"41,500",18,5,2023,48.3659,1,초지동,14.656333333333334
,초지역메이저타운푸르지오메트로단지,2019,"41,900",30,12,2022,48.3659,12,초지동,14.656333333333334
,초지역메이저타운푸르지오메트로단지,2019,"48,000",19,12,2020,48.3659,32,초지동,14.656333333333334
,초지역메이저타운푸르지오메트로단지,2019,"49,500",16,7,2022,48.3659,9,초지동,14.656333333333334
,초지역메이저타운푸르지오메트로단지,2019,"60,000",22,11,2021,48.3659,16,초지동,14.656333333333334
,초지역메이저타운푸르지오메트로단지,2019,"61,500",14,8,2021,48.3659,19,초지동,14.656333333333334
,그린빌18,2001,"16,500",30,7,2019,49.41,3,초지동,14.972727272727273
1809,그린빌18,2001,"25,500",29,5,2024,49.41,3,초지동,14.972727272727273
,그린빌18,2001,"30,700",15,4,2022,49.41,2,초지동,14.972727272727273
103,초지역메이저타운푸르지오에코단지,2019,"43,000",28,1,2023,49.4932,34,원곡동,14.997939393939395
103,초지역메이저타운푸르지오에코단지,2019,"48,600",13,4,2024,49.4932,25,원곡동,14.997939393939395
,초지역메이저타운푸르지오에코단지,2019,"50,000",3,10,2022,49.4932,28,원곡동,14.997939393939395
,초지역메이저타운푸르지오에코단지,2019,"54,000",15,9,2022,49.4932,19,원곡동,14.997939393939395
,초지역메이저타운푸르지오에코단지,2019,"60,000",28,10,2021,49.4932,27,원곡동,14.997939393939395
,주공그린빌14단지,2002,"31,500",30,6,2022,49.54,4,초지동,15.012121212121214
,고잔롯데캐슬골드파크,2018,"32,000",28,1,2020,49.66,17,고잔동,15.048484848484849
,고잔롯데캐슬골드파크,2018,"42,000",30,1,2021,49.66,12,고잔동,15.048484848484849
,고잔롯데캐슬골드파크,2018,"28,800",2,3,2019,49.74,16,고잔동,15.072727272727274
101동,안산푸르지오브리파크,2023,"31,000",15,3,2023,49.7492,7,원곡동,15.075515151515154
,그린빌18,2001,"22,750",30,6,2021,49.86,9,초지동,15.10909090909091
,군자주공15(고층),1993,"29,700",24,3,2021,49.94,10,선부동,15.133333333333333
,군자주공15(고층),1993,"38,700",15,5,2022,49.94,12,선부동,15.133333333333333
101,e편한세상초지역센트럴포레,2021,"47,000",8,3,2024,49.944,23,원곡동,15.134545454545457
105동,이편한세상선부역어반스퀘어,2020,"41,000",25,5,2023,49.97,6,선부동,15.142424242424243
,수정한양,1991,"15,000",28,10,2020,49.98,5,선부동,15.145454545454545
,수정한양,1991,"15,800",7,3,2019,49.98,1,선부동,15.145454545454545
,수정한양,1991,"16,800",30,3,2019,49.98,1,선부동,15.145454545454545
,수정한양,1991,"18,000",25,5,2020,49.98,5,선부동,15.145454545454545
203,수정한양,1991,"22,000",27,2,2024,49.98,5,선부동,15.145454545454545
,수정한양,1991,"22,900",27,2,2021,49.98,2,선부동,15.145454545454545
203,수정한양,1991,"25,600",24,2,2023,49.98,2,선부동,15.145454545454545
1505,그린빌15(해맑음마을),2002,"26,650",23,11,2023,49.98,9,초지동,15.145454545454545
,수정한양,1991,"27,000",8,1,2024,49.98,4,선부동,15.145454545454545
,수정한양,1991,"29,000",31,12,2021,49.98,2,선부동,15.145454545454545
105,산호한양,1993,"21,000",25,1,2024,50.085,1,선부동,15.177272727272728
,산호한양,1993,"21,400",31,1,2021,50.085,2,선부동,15.177272727272728
,주공그린빌13단지,2002,"26,200",18,4,2021,51.75,2,초지동,15.681818181818183
1314,주공그린빌13단지,2002,"26,300",28,11,2024,51.75,3,초지동,15.681818181818183
,주공그린빌13단지,2002,"27,900",27,12,2022,51.75,6,초지동,15.681818181818183
1301,주공그린빌13단지,2002,"28,700",24,2,2023,51.75,8,초지동,15.681818181818183
,주공그린빌13단지,2002,"20,500",29,2,2020,51.89,6,초지동,15.724242424242425
,주공그린빌13단지,2002,"21,300",28,11,2020,51.89,9,초지동,15.724242424242425
1320,주공그린빌13단지,2002,"28,500",25,4,2024,51.89,8,초지동,15.724242424242425
1301,주공그린빌13단지,2002,"28,900",24,8,2024,51.89,3,초지동,15.724242424242425
1316,주공그린빌13단지,2002,"29,300",29,1,2024,51.89,5,초지동,15.724242424242425
,주공그린빌13단지,2002,"32,900",12,6,2021,51.89,7,초지동,15.724242424242425
,주공그린빌13단지,2002,"33,000",22,7,2022,51.89,8,초지동,15.724242424242425
,주공그린빌13단지,2002,"34,400",28,7,2022,51.89,3,초지동,15.724242424242425
,주공그린빌13단지,2002,"35,000",29,9,2021,51.89,6,초지동,15.724242424242425
,주공그린빌13단지,2002,"36,000",25,2,2022,51.89,9,초지동,15.724242424242425
,주공7,1987,"26,800",20,10,2022,54.9,12,고잔동,16.636363636363637
,주공8,1987,"28,000",30,11,2022,54.9,10,고잔동,16.636363636363637
706,주공7,1987,"28,000",11,9,2024,54.9,7,고잔동,16.636363636363637
,주공8,1987,"30,000",27,9,2022,54.9,3,고잔동,16.636363636363637
,주공(9단지),1986,"34,000",26,8,2021,54.9,15,고잔동,16.636363636363637
,주공(9단지),1986,"35,200",28,8,2022,54.9,5,고잔동,16.636363636363637
,주공(9단지),1986,"36,500",20,8,2022,54.9,12,고잔동,16.636363636363637
,주공8,1987,"38,000",30,10,2021,54.9,14,고잔동,16.636363636363637
,천년가리더스카이,2020,"26,000",31,7,2020,59.126,9,와동,17.916969696969698
102동,천년가리더스카이,2020,"37,750",26,4,2023,59.126,14,와동,17.916969696969698
,천년가리더스카이,2020,"33,800",31,10,2024,59.4462,6,와동,18.014
,안산라프리모,2020,"41,700",12,6,2020,59.4504,28,선부동,18.01527272727273
,안산라프리모,2020,"56,000",28,2,2022,59.4504,25,선부동,18.01527272727273
105,안산라프리모,2020,"49,000",26,9,2023,59.4885,18,선부동,18.026818181818182
,안산레이크타운푸르지오,2016,"37,400",27,7,2019,59.5637,7,고잔동,18.04960606060606
,안산레이크타운푸르지오,2016,"40,700",30,1,2019,59.5637,28,고잔동,18.04960606060606
