aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
,안산레이크타운푸르지오,2016,,,,"40,700",30,1,2019,,,59.5637,28,782,N,,41273,,고잔동
,벽산블루밍,2004,,,,"23,850",27,1,2019,,,59.95,21,828-5,N,,41273,,원곡동
,서해그랑블,2004,,,,"34,500",30,1,2019,,,114.785,23,741,N,,41273,,초지동
,경남아너스빌,2005,,,,"24,000",26,1,2019,,,59.99,6,938,N,,41273,,원곡동
,서해그랑블,2004,,,,"26,800",24,1,2019,,,84.962,8,741,N,,41273,,초지동
,벽산블루밍,2004,,,,"29,300",31,1,2019,,,84.99,23,828-5,N,,41273,,원곡동
,군자주공12,1991,,,,"13,500",30,1,2019,,,38.64,6,1078,N,,41273,,선부동
,수정한양,1991,,,,"22,300",25,1,2019,,,73.9118,8,1086,N,,41273,,선부동
,e편한세상선부파크플레이스2차,2018,,,,"36,600",27,1,2019,,,84.98,18,1186,N,,41273,,선부동
,보네르빌리지,2001,,,,"33,100",24,1,2019,,,103.146,8,778,N,,41273,,고잔동
,롯데캐슬더퍼스트,2018,,,,"38,600",26,2,2019,,,84.98,14,801,N,,41273,,초지동
,고잔롯데캐슬골드파크,2018,,,,"44,500",26,2,2019,,,84.96,19,852,N,,41273,,고잔동
,동명벽산블루밍,2010,,,,"28,000",27,2,2019,,,59.98,12,1082,N,,41273,,선부동
,센트럴푸르지오,2018,,,,"52,000",26,2,2019,,,84.9604,9,851,N,,41273,,고잔동
,벽산블루밍,2004,,,,"23,700",20,2,2019,,,59.95,16,828-5,N,,41273,,원곡동
,고잔롯데캐슬골드파크,2018,,,,"33,000",22,2,2019,,,59.98,9,852,N,,41273,,고잔동
,삼익,1998,,,,"20,300",17,2,2019,,,84.96,10,1438,N,,41273,,신길동
,삼익,1998,,,,"20,000",22,2,2019,,,84.96,7,1438,N,,41273,,신길동
,푸르지오1차,2001,,,,"30,000",22,2,2019,,,84.7828,8,781,N,,41273,,고잔동
,군자주공10,1989,,,,"16,700",20,2,2019,,,39.66,4,1069,N,,41273,,선부동
,서해그랑블,2004,,,,"28,600",18,3,2019,,,100.994,8,741,N,,41273,,초지동
,벽산블루밍,2004,,,,"27,000",21,3,2019,,,84.99,17,828-5,N,,41273,,원곡동
,수정한양,1991,,,,"16,800",30,3,2019,,,49.98,1,1086,N,,41273,,선부동
,고잔롯데캐슬골드파크,2018,,,,"28,800",2,3,2019,,,49.74,16,852,N,,41273,,고잔동
,푸르지오1차,2001,,,,"30,500",14,3,2019,,,84.4458,14,781,N,,41273,,고잔동
,고잔롯데캐슬골드파크,2018,,,,"34,500",14,3,2019,,,59.98,15,852,N,,41273,,고잔동
,한화꿈에그린,2006,,,,"27,000",31,3,2019,,,84.9146,4,847,N,,41273,,원곡동
,수정한양,1991,,,,"15,800",7,3,2019,,,49.98,1,1086,N,,41273,,선부동
,벽산블루밍,2004,,,,"26,500",28,3,2019,,,84.99,8,828-5,N,,41273,,원곡동
,안산8차푸르지오,2006,,,,"28,500",30,3,2019,,,84.9897,5,937,N,,41273,,원곡동
,고잔롯데캐슬골드파크,2018,,,,"32,950",4,4,2019,,,59.98,25,852,N,,41273,,고잔동
,한화꿈에그린,2006,,,,"29,000",30,4,2019,,,84.9146,17,847,N,,41273,,원곡동
,벽산블루밍,2004,,,,"25,500",30,4,2019,,,84.99,11,828-5,N,,41273,,원곡동
,벽산블루밍,2004,,,,"25,800",28,4,2019,,,84.99,7,828-5,N,,41273,,원곡동
,동명벽산블루밍,2010,,,,"37,000",20,4,2019,,,84.94,15,1082,N,,41273,,선부동
,휴먼시아4단지,2012,,,,"26,500",9,4,2019,,,74.53,6,1537,N,,41273,,신길동
,공작한양(고층),1992,,,,"22,000",28,4,2019,,,73.9581,4,1085,N,,41273,,선부동
,안산8차푸르지오,2006,,,,"29,000",23,4,2019,,,84.9897,5,937,N,,41273,,원곡동
,군자주공11,1990,,,,"12,100",27,4,2019,,,39.27,1,1078,N,,41273,,선부동
,군자주공12,1991,,,,"10,500",30,4,2019,,,38.64,7,1078,N,,41273,,선부동
,호수마을풍림,2000,,,,"29,500",4,5,2019,,,101.99,10,731,N,,41273,,초지동
,주공그린빌11,2003,,,,"28,300",21,5,2019,,,84.99,8,723,N,,41273,,초지동
,두산위브,2015,,,,"56,000",9,5,2019,,,114.95,10,796,N,,41273,,초지동
,주공그린빌9,2001,,,,"28,700",30,5,2019,,,75.58,1,765,N,,41273,,고잔동
,수정한양,1991,,,,"24,000",31,5,2019,,,103.6118,15,1086,N,,41273,,선부동
,공작한양(고층),1992,,,,"26,000",27,5,2019,,,84.88,8,1085,N,,41273,,선부동
,경남아너스빌,2005,,,,"29,250",30,5,2019,,,84.99,5,938,N,,41273,,원곡동
,경남아너스빌,2005,,,,"25,900",28,5,2019,,,74.86,6,938,N,,41273,,원곡동
,안산메트로타운푸르지오힐스테이트,2018,,,,"32,600",21,5,2019,,,74.4993,21,1177,N,,41273,,선부동
,벽산블루밍,2004,,,,"26,200",20,5,2019,,,84.99,15,828-5,N,,41273,,원곡동
,초지역메이저타운푸르지오파크단지,2019,,,,"34,000",28,6,2019,,,59.863,14,802,N,,41273,,초지동
,초지역메이저타운푸르지오에코단지,2019,,,,"32,100",13,6,2019,,,59.9932,33,1001,N,,41273,,원곡동
,초지역메이저타운푸르지오파크단지,2019,,,,"34,000",28,6,2019,,,59.863,30,802,N,,41273,,초지동
,초지역메이저타운푸르지오파크단지,2019,,,,"42,000",18,6,2019,,,72.7925,23,802,N,,41273,,초지동
,초지역메이저타운푸르지오파크단지,2019,,,,"33,000",28,6,2019,,,59.9761,12,802,N,,41273,,초지동
,초지역메이저타운푸르지오메트로단지,2019,,,,"28,660",19,6,2019,,,59.9333,7,803,N,,41273,,초지동
,초지역메이저타운푸르지오파크단지,2019,,,,"39,500",28,6,2019,,,72.7925,11,802,N,,41273,,초지동
,주공6,1986,,,,"24,800",1,6,2019,,,46.74,4,676-2,N,,41273,,고잔동
,두산위브,2015,,,,"36,000",29,6,2019,,,84.98,15,796,N,,41273,,초지동
,주공그린빌12,2003,,,,"26,000",27,6,2019,,,75.99,11,730,N,,41273,,초지동
,초지역메이저타운푸르지오에코단지,2019,,,,"34,000",30,7,2019,,,59.5958,31,1001,N,,41273,,원곡동
,초지역메이저타운푸르지오파크단지,2019,,,,"34,000",25,7,2019,,,59.863,14,802,N,,41273,,초지동
,센트럴푸르지오,2018,,,,"53,000",6,7,2019,,,84.9529,10,851,N,,41273,,고잔동
,호수공원(대림2B)134~139동,2002,,,,"60,000",11,7,2019,,,163.47,24,720,N,,41273,,고잔동
,벽산블루밍,2004,,,,"23,000",16,7,2019,,,59.95,9,828-5,N,,41273,,원곡동
,군자주공11,1990,,,,"13,400",8,7,2019,,,39.27,4,1078,N,,41273,,선부동
,두산위브,2015,,,,"36,000",29,7,2019,,,84.98,21,796,N,,41273,,초지동
,안산레이크타운푸르지오,2016,,,,"37,400",27,7,2019,,,59.5637,7,782,N,,41273,,고잔동
,그린빌18,2001,,,,"16,500",30,7,2019,,,49.41,3,738,N,,41273,,초지동
,초지역메이저타운푸르지오메트로단지,2019,,,,"27,800",23,7,2019,,,48.3659,7,803,N,,41273,,초지동
,초지역메이저타운푸르지오파크단지,2019,,,,"33,700",27,8,2019,,,59.9761,20,802,N,,41273,,초지동
,초지역메이저타운푸르지오파크단지,2019,,,,"42,200",27,8,2019,,,72.7925,26,802,N,,41273,,초지동
,호수공원(대림2B)134~139동,2002,,,,"36,000",27,8,2019,,,117.92,24,720,N,,41273,,고잔동
,주공그린빌11,2003,,,,"31,200",31,8,2019,,,84.99,15,723,N,,41273,,초지동
,호수마을풍림,2000,,,,"26,000",27,8,2019,,,84.96,5,731,N,,41273,,초지동
,초지역메이저타운푸르지오파크단지,2019,,,,"39,700",27,8,2019,,,72.7925,7,802,N,,41273,,초지동
,초지역메이저타운푸르지오파크단지,2019,,,,"33,200",27,8,2019,,,59.9761,8,802,N,,41273,,초지동
,푸르지오1차,2001,,,,"29,000",24,8,2019,,,84.7828,6,781,N,,41273,,고잔동
,휴먼시아6단지,2009,,,,"27,500",30,8,2019,,,84.91,14,1563,N,,41273,,신길동
,군자주공9,1989,,,,"13,250",21,8,2019,,,39.27,1,967,N,,41273,,선부동
,푸르지오4차,2003,,,,"30,500",30,9,2019,,,77.8241,3,702,N,,41273,,고잔동
,주공그린빌7,2001,,,,"27,450",30,9,2019,,,84.54,4,776,N,,41273,,고잔동
,서해그랑블,2004,,,,"28,900",27,9,2019,,,84.962,7,741,N,,41273,,초지동
,서해그랑블,2004,,,,"25,500",30,9,2019,,,71.939,12,741,N,,41273,,초지동
,주공5,1986,,,,"24,000",28,9,2019,,,39.72,3,675,N,,41273,,고잔동
,힐스테이트중앙,2018,,,,"45,000",23,9,2019,,,59.9633,34,853,N,,41273,,고잔동
,주공그린빌12,2003,,,,"26,000",30,9,2019,,,75.99,4,730,N,,41273,,초지동
,안산메트로타운푸르지오힐스테이트,2018,,,,"33,800",30,9,2019,,,74.4993,15,1177,N,,41273,,선부동
,서해그랑블,2004,,,,"35,500",10,9,2019,,,114.785,15,741,N,,41273,,초지동
,호수공원(대림2A),2001,,,,"29,000",28,9,2019,,,87.152,10,720,N,,41273,,고잔동
,초지역메이저타운푸르지오파크단지,2019,,,,"40,000",5,10,2019,,,59.9761,17,802,N,,41273,,초지동
,센트럴푸르지오,2018,,,,"60,000",14,10,2019,,,84.9529,20,851,N,,41273,,고잔동
,푸르지오4차,2003,,,,"31,000",5,10,2019,,,77.8241,5,702,N,,41273,,고잔동
,초지역메이저타운푸르지오파크단지,2019,,,,"38,500",31,10,2019,,,59.9761,20,802,N,,41273,,초지동
,주공그린빌14단지,2002,,,,"20,500",23,10,2019,,,59.76,1,725,N,,41273,,초지동
,푸르지오1차,2001,,,,"30,000",28,10,2019,,,84.7828,1,781,N,,41273,,고잔동
,초지역메이저타운푸르지오파크단지,2019,,,,"43,000",29,10,2019,,,72.7925,16,802,N,,41273,,초지동
,주공5,1986,,,,"33,000",28,10,2019,,,46.79,2,675,N,,41273,,고잔동
,고잔롯데캐슬골드파크,2018,,,,"42,750",25,10,2019,,,75.9,24,852,N,,41273,,고잔동
,경남아너스빌,2005,,,,"30,400",29,10,2019,,,84.99,4,938,N,,41273,,원곡동
,안산레이크타운푸르지오,2016,,,,"43,000",28,11,2019,,,59.5637,5,782,N,,41273,,고잔동
,초지역메이저타운푸르지오에코단지,2019,,,,"48,250",18,11,2019,,,84.6097,30,1001,N,,41273,,원곡동
,초지역메이저타운푸르지오파크단지,2019,,,,"40,000",14,11,2019,,,59.9761,30,802,N,,41273,,초지동
,초지역메이저타운푸르지오파크단지,2019,,,,"34,600",1,11,2019,,,59.9333,15,802,N,,41273,,초지동
,군자주공11,1990,,,,"16,200",30,11,2019,,,39.66,5,1078,N,,41273,,선부동
,푸르지오1차,2001,,,,"28,700",29,11,2019,,,71.1837,13,781,N,,41273,,고잔동
,주공그린빌8,2001,,,,"30,700",11,11,2019,,,75.77,5,766,N,,41273,,고잔동
,주공(9단지),1986,,,,"21,500",6,11,2019,,,66.56,5,672,N,,41273,,고잔동
,군자주공11,1990,,,,"12,900",16,11,2019,,,39.66,1,1078,N,,41273,,선부동
,벽산블루밍,2004,,,,"25,300",29,11,2019,,,84.99,5,828-5,N,,41273,,원곡동
,안산라프리모,2020,,,,"44,500",17,12,2019,,,84.9673,27,1188,N,,41273,,선부동
,초지역메이저타운푸르지오파크단지,2019,,,,"43,000",17,12,2019,,,59.9761,7,802,N,,41273,,초지동
,초지역메이저타운푸르지오메트로단지,2019,,,,"42,000",2,12,2019,,,59.9333,3,803,N,,41273,,초지동
,푸르지오3차,2003,,,,"47,000",9,12,2019,,,101.95,3,728,N,,41273,,고잔동
,푸르지오3차,2003,,,,"57,500",16,12,2019,,,121.46,19,728,N,,41273,,고잔동
,e편한세상선부파크플레이스1차,2018,,,,"32,500",16,12,2019,,,59.98,17,1186,N,,41273,,선부동
,주공6,1986,,,,"28,000",27,12,2019,,,39.72,2,676-2,N,,41273,,고잔동
,푸르지오3차,2003,,,,"37,500",21,12,2019,,,71.55,5,728,N,,41273,,고잔동
,양지마을,2001,,,,"43,000",31,12,2019,,,101.913,7,780,N,,41273,,고잔동
,안산아이파크,2013,,,,"33,000",2,12,2019,,,84.26,1,1679,N,,41273,,신길동
,안산라프리모,2020,,,,"48,000",9,1,2020,,,84.9673,31,1188,N,,41273,,선부동
,초지역메이저타운푸르지오메트로단지,2019,,,,"66,000",30,1,2020,,,84.5027,22,803,N,,41273,,초지동
,호수공원(대림1),2001,,,,"36,000",18,1,2020,,,87.152,14,720,N,,41273,,고잔동
,군자주공11,1990,,,,"14,000",30,1,2020,,,39.66,3,1078,N,,41273,,선부동
,푸르지오1차,2001,,,,"41,500",13,1,2020,,,95.4946,12,781,N,,41273,,고잔동
,고잔롯데캐슬골드파크,2018,,,,"32,000",28,1,2020,,,49.66,17,852,N,,41273,,고잔동
,네오빌6단지,2000,,,,"32,500",31,1,2020,,,84.5,10,767,N,,41273,,고잔동
,두산위브,2015,,,,"45,000",23,1,2020,,,84.98,18,796,N,,41273,,초지동
,효성,1997,,,,"16,000",23,1,2020,,,59.76,12,978-1,N,,41273,,선부동
,군자주공15(저층),1992,,,,"13,500",31,1,2020,,,39.61,3,1080,N,,41273,,선부동
,안산라프리모,2020,,,,"46,300",27,2,2020,,,84.9673,23,1188,N,,41273,,선부동
,안산아이파크,2013,,,,"34,000",28,2,2020,,,84.26,9,1679,N,,41273,,신길동
